subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0010339	X-linked epilepsy-learning disabilities-behavior disorders syndrome	skos:exactMatch	DOID:0112122	X-linked epilepsy with variable learning disabilities and behavior disorders	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	mesh:c564505	LEXMATCH
MONDO:0010339	X-linked epilepsy-learning disabilities-behavior disorders syndrome	skos:exactMatch	DOID:0112122	X-linked epilepsy with variable learning disabilities and behavior disorders	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	x-linked epilepsy-learning disabilities-behavior disorders syndrome	LEXMATCH
MONDO:0010339	X-linked epilepsy-learning disabilities-behavior disorders syndrome	skos:exactMatch	DOID:0112122	X-linked epilepsy with variable learning disabilities and behavior disorders	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	x-linked epilepsy-learning disabilities-behavior disorders syndrome	LEXMATCH
MONDO:0010344	intellectual disability, X-linked 45	skos:exactMatch	DOID:0112028	non-syndromic X-linked intellectual disability 45	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300498	LEXMATCH
MONDO:0010347	intellectual disability, X-linked 84	skos:exactMatch	DOID:0112030	non-syndromic X-linked intellectual disability 84	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx84	LEXMATCH
MONDO:0010347	intellectual disability, X-linked 84	skos:exactMatch	DOID:0112030	non-syndromic X-linked intellectual disability 84	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300505	LEXMATCH
MONDO:0010349	ovarian dysgenesis 2	skos:exactMatch	DOID:0080861	primary ovarian insufficiency 4	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300510	LEXMATCH
MONDO:0010350	premature ovarian failure 2A	skos:exactMatch	DOID:0080858	primary ovarian insufficiency 2A	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300511	LEXMATCH
MONDO:0010352	intellectual disability, X-linked 82	skos:exactMatch	DOID:0112052	non-syndromic X-linked intellectual disability 82	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx82	LEXMATCH
MONDO:0010352	intellectual disability, X-linked 82	skos:exactMatch	DOID:0112052	non-syndromic X-linked intellectual disability 82	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300518	LEXMATCH
