subject_id	subject_label	is_mapped	is_excluded	is_deprecated
NCIT:C121655	Sclerosing Rhabdomyosarcoma	False	False	False
NCIT:C121668	Pseudomyogenic Hemangioendothelioma	False	False	False
NCIT:C121671	Soft Tissue Angiosarcoma	False	False	False
NCIT:C121677	Conventional Schwannoma	False	False	False
NCIT:C121678	Non-Functioning Pituitary Neuroendocrine Tumor/Microadenoma	False	False	False
NCIT:C121679	Functioning Pituitary Neuroendocrine Tumor/Microadenoma	False	False	False
NCIT:C121680	Dermal Nerve Sheath Myxoma	False	False	False
NCIT:C121681	Solitary Circumscribed Neuroma	False	False	False
NCIT:C121686	Hybrid Nerve Sheath Tumor	False	False	False
NCIT:C121713	Superficial Acral Fibromyxoma	False	False	False
NCIT:C121720	Functioning Pituitary Neuroendocrine Tumor/Macroadenoma	False	False	False
NCIT:C121721	Non-Functioning Pituitary Neuroendocrine Tumor/Macroadenoma	False	False	False
NCIT:C121738	Intermediate Soft Tissue Neoplasm of Uncertain Differentiation	False	False	False
NCIT:C121752	Hemosiderotic Fibrolipomatous Tumor	False	False	False
NCIT:C121774	Malignant Ossifying Fibromyxoid Tumor	False	False	False
NCIT:C121785	Ectomesenchymal Chondromyxoid Tumor	False	False	False
NCIT:C121786	Mixed Tumor, Not Otherwise Specified	False	False	False
NCIT:C121787	Malignant Mixed Tumor, Not Otherwise Specified	False	False	False
NCIT:C121788	Benign Phosphaturic Mesenchymal Tumor	False	False	False
NCIT:C121789	Malignant Phosphaturic Mesenchymal Tumor	False	False	False
NCIT:C121790	Sclerosing PEComa	False	False	False
NCIT:C121792	Malignant PEComa	False	False	False
NCIT:C121793	Undifferentiated Soft Tissue Sarcoma	False	False	False
NCIT:C121797	Undifferentiated Spindle Cell Sarcoma	False	False	False
NCIT:C121802	Undifferentiated Sarcoma with Epithelioid Features	False	False	False
NCIT:C121804	Undifferentiated Sarcoma, Not Otherwise Specified	False	False	False
NCIT:C121842	Osteochondromyxoma	False	False	False
NCIT:C121844	Subungual Exostosis	False	False	False
NCIT:C121845	Bizarre Parosteal Osteochondromatous Proliferation	False	False	False
NCIT:C121846	Intermediate Chondrogenic Neoplasm	False	False	False
NCIT:C121870	Chondrosarcoma, Grade 2	False	False	False
NCIT:C121871	Chondrosarcoma, Grade 3	False	False	False
NCIT:C121881	Secondary Central Chondrosarcoma	False	False	False
NCIT:C121882	Secondary Peripheral Chondrosarcoma	False	False	False
NCIT:C121901	Benign Notochordal Cell Tumor	False	False	False
NCIT:C121925	Intermediate Osteogenic Neoplasm	False	False	False
NCIT:C121926	Intermediate Bone Neoplasm	False	False	False
NCIT:C121929	Non-Ossifying Fibroma	False	False	False
NCIT:C121930	Primary Bone Non-Hodgkin Lymphoma	False	False	False
NCIT:C121931	Intermediate Osteoclastic Giant Cell-Rich Tumor of Bone	False	False	False
NCIT:C121933	Malignant Osteoclastic Giant Cell-Rich Tumor of Bone	False	False	False
NCIT:C121941	Bone Epithelioid Hemangioendothelioma	False	False	False
NCIT:C121973	Acute Lymphoblastic Leukemia by Gene Expression Profile	False	False	False
NCIT:C121974	B Acute Lymphoblastic Leukemia, BCR-ABL1-Like	False	False	False
NCIT:C121975	DDIT4L Acute Lymphoblastic Leukemia	False	False	False
NCIT:C121978	Acute Lymphoblastic Leukemia by ROSE Cluster	False	False	False
NCIT:C121980	ROSE Cluster 1	False	False	False
NCIT:C122584	Borderline Ovarian Serous Tumor/Atypical Proliferative Ovarian Serous Tumor	False	False	False
NCIT:C122585	Borderline Ovarian Serous Tumor-Micropapillary Variant/Non-Invasive Low Grade Ovarian Serous Carcinoma	False	False	False
NCIT:C122586	Borderline Ovarian Mucinous Tumor/Atypical Proliferative Ovarian Mucinous Tumor	False	False	False
NCIT:C122603	Infant Leukemia	False	False	False
NCIT:C122614	Infant Acute Lymphoblastic Leukemia	False	False	False
NCIT:C122617	Infant Acute Lymphoblastic Leukemia with KMT2A Rearrangement	False	False	False
NCIT:C122621	Infant Acute Lymphoblastic Leukemia without KMT2A Rearrangement	False	False	False
NCIT:C122624	Refractory Childhood Acute Lymphoblastic Leukemia	False	False	False
NCIT:C122625	Childhood Acute Myeloid Leukemia Not Otherwise Specified	False	False	False
NCIT:C122686	Hypoplastic Myelodysplastic Syndrome	False	False	False
NCIT:C122687	Cytogenetically Normal Acute Myeloid Leukemia	False	False	False
NCIT:C122691	Childhood Acute Myeloid Leukemia with NUP98 Rearrangement	False	False	False
NCIT:C122725	Childhood Acute Myeloid Leukemia with Abnormalities of Chromosome 5q	False	False	False
NCIT:C122726	Childhood Acute Myeloid Leukemia with Abnormalities of Chromosome 7	False	False	False
NCIT:C123160	Lepidic Adenocarcinoma	False	False	False
NCIT:C123392	Childhood Lymphomatoid Granulomatosis	False	False	False
NCIT:C123393	Recurrent Childhood Lymphomatoid Granulomatosis	False	False	False
NCIT:C123394	Childhood Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue	False	False	False
NCIT:C123395	Childhood Langerhans Cell Histiocytosis with Risk Organ Involvement	False	False	False
NCIT:C123396	Childhood Langerhans Cell Histiocytosis without Risk Organ Involvement	False	False	False
NCIT:C123398	Childhood Periosteal Osteosarcoma	False	False	False
NCIT:C123731	Fusion-Positive Alveolar Rhabdomyosarcoma	False	False	False
NCIT:C123732	Fusion-Negative Alveolar Rhabdomyosarcoma	False	False	False
NCIT:C123735	Fusion-Positive Rhabdomyosarcoma	False	False	False
NCIT:C123736	Fusion-Negative Rhabdomyosarcoma	False	False	False
NCIT:C123737	Refractory Childhood Malignant Germ Cell Tumor	False	False	False
NCIT:C123739	Refractory Malignant Germ Cell Tumor	False	False	False
NCIT:C123834	Childhood Immature Teratoma	False	False	False
NCIT:C123835	Childhood Testicular Immature Teratoma	False	False	False
NCIT:C123836	Childhood Mature Teratoma	False	False	False
NCIT:C123837	Childhood Testicular Mature Teratoma	False	False	False
NCIT:C123838	Childhood Germinomatous Germ Cell Tumor	False	False	False
NCIT:C123840	Childhood Seminoma	False	False	False
NCIT:C123841	Childhood Nongerminomatous Germ Cell Tumor	False	False	False
NCIT:C123842	Childhood Ovarian Nongerminomatous Germ Cell Tumor	False	False	False
NCIT:C123843	Childhood Testicular Non-Seminomatous Germ Cell Tumor	False	False	False
NCIT:C123844	Childhood Choriocarcinoma	False	False	False
