subject_id	subject_label
ICD10CM:S50.311	Abrasion of right elbow
ICD10CM:S50.311A	Abrasion of right elbow, initial encounter
ICD10CM:S50.311S	Abrasion of right elbow, sequela
ICD10CM:S50.311D	Abrasion of right elbow, subsequent encounter
ICD10CM:S00.211	Abrasion of right eyelid and periocular area
ICD10CM:S00.211A	Abrasion of right eyelid and periocular area, initial encounter
ICD10CM:S00.211S	Abrasion of right eyelid and periocular area, sequela
ICD10CM:S00.211D	Abrasion of right eyelid and periocular area, subsequent encounter
ICD10CM:S50.811	Abrasion of right forearm
ICD10CM:S50.811A	Abrasion of right forearm, initial encounter
ICD10CM:S50.811S	Abrasion of right forearm, sequela
ICD10CM:S50.811D	Abrasion of right forearm, subsequent encounter
ICD10CM:S20.311	Abrasion of right front wall of thorax
ICD10CM:S20.311A	Abrasion of right front wall of thorax, initial encounter
ICD10CM:S20.311S	Abrasion of right front wall of thorax, sequela
ICD10CM:S20.311D	Abrasion of right front wall of thorax, subsequent encounter
ICD10CM:S60.511	Abrasion of right hand
ICD10CM:S60.511A	Abrasion of right hand, initial encounter
ICD10CM:S60.511S	Abrasion of right hand, sequela
ICD10CM:S60.511D	Abrasion of right hand, subsequent encounter
ICD10CM:S60.410	Abrasion of right index finger
ICD10CM:S60.410A	Abrasion of right index finger, initial encounter
ICD10CM:S60.410S	Abrasion of right index finger, sequela
ICD10CM:S60.410D	Abrasion of right index finger, subsequent encounter
ICD10CM:S60.416	Abrasion of right little finger
ICD10CM:S60.416A	Abrasion of right little finger, initial encounter
ICD10CM:S60.416S	Abrasion of right little finger, sequela
ICD10CM:S60.416D	Abrasion of right little finger, subsequent encounter
ICD10CM:S60.412	Abrasion of right middle finger
ICD10CM:S60.412A	Abrasion of right middle finger, initial encounter
ICD10CM:S60.412S	Abrasion of right middle finger, sequela
ICD10CM:S60.412D	Abrasion of right middle finger, subsequent encounter
ICD10CM:S60.414	Abrasion of right ring finger
ICD10CM:S60.414A	Abrasion of right ring finger, initial encounter
ICD10CM:S60.414S	Abrasion of right ring finger, sequela
ICD10CM:S60.414D	Abrasion of right ring finger, subsequent encounter
ICD10CM:S40.211	Abrasion of right shoulder
ICD10CM:S40.211A	Abrasion of right shoulder, initial encounter
ICD10CM:S40.211S	Abrasion of right shoulder, sequela
ICD10CM:S40.211D	Abrasion of right shoulder, subsequent encounter
ICD10CM:S60.311	Abrasion of right thumb
ICD10CM:S60.311A	Abrasion of right thumb, initial encounter
ICD10CM:S60.311S	Abrasion of right thumb, sequela
ICD10CM:S60.311D	Abrasion of right thumb, subsequent encounter
ICD10CM:S40.811	Abrasion of right upper arm
ICD10CM:S40.811A	Abrasion of right upper arm, initial encounter
ICD10CM:S40.811S	Abrasion of right upper arm, sequela
ICD10CM:S40.811D	Abrasion of right upper arm, subsequent encounter
ICD10CM:S60.811	Abrasion of right wrist
ICD10CM:S60.811A	Abrasion of right wrist, initial encounter
ICD10CM:S60.811S	Abrasion of right wrist, sequela
ICD10CM:S60.811D	Abrasion of right wrist, subsequent encounter
ICD10CM:S00.01	Abrasion of scalp
ICD10CM:S00.01XA	Abrasion of scalp, initial encounter
ICD10CM:S00.01XS	Abrasion of scalp, sequela
ICD10CM:S00.01XD	Abrasion of scalp, subsequent encounter
ICD10CM:S30.813	Abrasion of scrotum and testes
ICD10CM:S30.813A	Abrasion of scrotum and testes, initial encounter
ICD10CM:S30.813S	Abrasion of scrotum and testes, sequela
ICD10CM:S30.813D	Abrasion of scrotum and testes, subsequent encounter
ICD10CM:S40.21	Abrasion of shoulder
ICD10CM:K03.1	Abrasion of teeth
ICD10CM:S70.31	Abrasion of thigh
ICD10CM:S10.11	Abrasion of throat
ICD10CM:S10.11XA	Abrasion of throat, initial encounter
ICD10CM:S10.11XS	Abrasion of throat, sequela
ICD10CM:S10.11XD	Abrasion of throat, subsequent encounter
ICD10CM:S60.31	Abrasion of thumb
ICD10CM:S90.41	Abrasion of toe
ICD10CM:S20.419	Abrasion of unspecified back wall of thorax
ICD10CM:S20.419A	Abrasion of unspecified back wall of thorax, initial encounter
ICD10CM:S20.419S	Abrasion of unspecified back wall of thorax, sequela
ICD10CM:S20.419D	Abrasion of unspecified back wall of thorax, subsequent encounter
ICD10CM:S00.419	Abrasion of unspecified ear
ICD10CM:S00.419A	Abrasion of unspecified ear, initial encounter
ICD10CM:S00.419S	Abrasion of unspecified ear, sequela
ICD10CM:S00.419D	Abrasion of unspecified ear, subsequent encounter
ICD10CM:S50.319	Abrasion of unspecified elbow
ICD10CM:S50.319A	Abrasion of unspecified elbow, initial encounter
